Record,Legs,Backrest,Arms,FlatSurface,Round,Class
17,4,no,no,yes,yes,table
111,4,no,yes,no,yes,Chair
147,3,no,no,yes,no,table
149,4,yes,no,no,yes,Chair
198,3,no,yes,yes,yes,Chair
226,0,no,no,yes,no,table
228,4,yes,no,yes,no,Chair
286,4,no,no,,no,table
286,4,no,no,,no,table
293,4,no,yes,no,no,Chair
303,1,no,yes,no,no,Chair
324,4,yes,no,no,yes,Chair
332,4,no,yes,no,no,
415,4,yes,yes,no,yes,Chair
417,4,yes,yes,no,no,Chair
457,4,no,no,yes,yes,unknown
486,0,yes,yes,yes,yes,Chair
495,4,yes,no,no,no,Chair
537,2,yes,yes,yes,no,Chair
541,4,yes,no,yes,,Chair
580,1,no,no,yes,no,unknown
593,4,no,no,yes,no,unknown
625,4,yes,no,no,yes,Chair
655,4,yes,yes,no,yes,Chair
665,4,no,no,yes,yes,table
667,4,yes,yes,yes,no,Chair
675,4,yes,yes,yes,no,Chair
681,4,no,no,yes,no,table
713,4,yes,yes,no,yes,Chair
774,,no,no,yes,yes,table
776,3,no,no,yes,yes,table
781,1,no,no,yes,no,Chair
783,1,no,yes,no,yes,Chair
816,4,yes,no,yes,no,Chair
827,1,yes,no,no,no,Chair
892,1,yes,yes,no,no,Chair
910,4,no,no,no,yes,table
913,4,no,yes,no,no,Chair
935,0,no,no,yes,no,table
974,3,yes,no,yes,no,Chair
996,2,yes,yes,yes,no,Unknown
998,4,yes,yes,no,no,Chair
